Turno	FEN	Stockfish_Move	MCTS_Opinion	MCTS_4000
1	rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1	e2e4	e2e3	e2e3
2	rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1	c7c5	d7d6	d7d6
3	rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2	g1f3	f1e2	f1e2
4	rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2	b8c6	d8c7	d8c7
5	r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3	f1b5	f1b5	f1b5
6	r1bqkbnr/pp1ppppp/2n5/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3	g7g6	a7a6	a7a6
7	r1bqkbnr/pp1ppp1p/2n3p1/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4	b5c6	e1g1	e1g1
8	r1bqkbnr/pp1ppp1p/2B3p1/2p5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 0 4	b7c6	b7c6	b7c6
9	r1bqkbnr/p2ppp1p/2p3p1/2p5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 5	e1g1	e1g1	e1g1
10	r1bqkbnr/p2ppp1p/2p3p1/2p5/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 1 5	f8g7	f8g7	f8g7
11	r1bqk1nr/p2pppbp/2p3p1/2p5/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 2 6	f1e1	d2d3	d2d3
12	r1bqk1nr/p2pppbp/2p3p1/2p5/4P3/5N2/PPPP1PPP/RNBQR1K1 b kq - 3 6	d8c7	g8f6	g8f6
13	r1b1k1nr/p1qpppbp/2p3p1/2p5/4P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 4 7	c2c3	d2d3	d2d3
14	r1b1k1nr/p1qpppbp/2p3p1/2p5/4P3/2P2N2/PP1P1PPP/RNBQR1K1 b kq - 0 7	d7d6	g8f6	d7d6
15	r1b1k1nr/p1q1ppbp/2pp2p1/2p5/4P3/2P2N2/PP1P1PPP/RNBQR1K1 w kq - 0 8	d2d4	d2d4	d2d4
16	r1b1k1nr/p1q1ppbp/2pp2p1/2p5/3PP3/2P2N2/PP3PPP/RNBQR1K1 b kq - 0 8	c5d4	g8f6	g8f6
17	r1b1k1nr/p1q1ppbp/2pp2p1/8/3pP3/2P2N2/PP3PPP/RNBQR1K1 w kq - 0 9	c3d4	c3d4	c3d4
18	r1b1k1nr/p1q1ppbp/2pp2p1/8/3PP3/5N2/PP3PPP/RNBQR1K1 b kq - 0 9	g8f6	g8f6	g8f6
19	r1b1k2r/p1q1ppbp/2pp1np1/8/3PP3/5N2/PP3PPP/RNBQR1K1 w kq - 1 10	b1c3	b1c3	b1c3
20	r1b1k2r/p1q1ppbp/2pp1np1/8/3PP3/2N2N2/PP3PPP/R1BQR1K1 b kq - 2 10	c8g4	e8g8	e8g8
21	r3k2r/p1q1ppbp/2pp1np1/8/3PP1b1/2N2N2/PP3PPP/R1BQR1K1 w kq - 3 11	h2h3	h2h3	h2h3
22	r3k2r/p1q1ppbp/2pp1np1/8/3PP1b1/2N2N1P/PP3PP1/R1BQR1K1 b kq - 0 11	g4f3	g4f3	g4f3
23	r3k2r/p1q1ppbp/2pp1np1/8/3PP3/2N2b1P/PP3PP1/R1BQR1K1 w kq - 0 12	d1f3	d1f3	d1f3
24	r3k2r/p1q1ppbp/2pp1np1/8/3PP3/2N2Q1P/PP3PP1/R1B1R1K1 b kq - 0 12	f6d7	e8g8	e8g8
25	r3k2r/p1qnppbp/2pp2p1/8/3PP3/2N2Q1P/PP3PP1/R1B1R1K1 w kq - 1 13	e4e5	c1e3	c1e3
26	r3k2r/p1qnppbp/2pp2p1/4P3/3P4/2N2Q1P/PP3PP1/R1B1R1K1 b kq - 0 13	e8g8	d7e5	d7e5
27	r4rk1/p1qnppbp/2pp2p1/4P3/3P4/2N2Q1P/PP3PP1/R1B1R1K1 w - - 1 14	e5d6	e5d6	e5d6
28	r4rk1/p1qnppbp/2pP2p1/8/3P4/2N2Q1P/PP3PP1/R1B1R1K1 b - - 0 14	c7d6	e7d6	e7d6
29	r4rk1/p2nppbp/2pq2p1/8/3P4/2N2Q1P/PP3PP1/R1B1R1K1 w - - 0 15	c1f4	c1e3	c1e3
30	r4rk1/p2nppbp/2pq2p1/8/3P1B2/2N2Q1P/PP3PP1/R3R1K1 b - - 1 15	d6b4	d6d4	d6d4
31	r4rk1/p2nppbp/2p3p1/8/1q1P1B2/2N2Q1P/PP3PP1/R3R1K1 w - - 2 16	a1d1	a2a3	a2a3
32	r4rk1/p2nppbp/2p3p1/8/1q1P1B2/2N2Q1P/PP3PP1/3RR1K1 b - - 3 16	d7b6	f8e8	f8e8
33	r4rk1/p3ppbp/1np3p1/8/1q1P1B2/2N2Q1P/PP3PP1/3RR1K1 w - - 4 17	f3c6	f4e5	f4e5
34	r4rk1/p3ppbp/1nQ3p1/8/1q1P1B2/2N4P/PP3PP1/3RR1K1 b - - 0 17	g7d4	a8c8	a8c8
35	r4rk1/p3pp1p/1nQ3p1/8/1q1b1B2/2N4P/PP3PP1/3RR1K1 w - - 0 18	f4h6	d1d2	d1d2
36	r4rk1/p3pp1p/1nQ3pB/8/1q1b4/2N4P/PP3PP1/3RR1K1 b - - 1 18	f8d8	a8c8	a8c8
37	r2r2k1/p3pp1p/1nQ3pB/8/1q1b4/2N4P/PP3PP1/3RR1K1 w - - 2 19	c6f3	e1e6	e1e6
38	r2r2k1/p3pp1p/1n4pB/8/1q1b4/2N2Q1P/PP3PP1/3RR1K1 b - - 3 19	d4f6	d8d7	d8d7
39	r2r2k1/p3pp1p/1n3bpB/8/1q6/2N2Q1P/PP3PP1/3RR1K1 w - - 4 20	d1d8	e1e5	e1e5
40	r2R2k1/p3pp1p/1n3bpB/8/1q6/2N2Q1P/PP3PP1/4R1K1 b - - 0 20	a8d8	a8d8	a8d8
41	3r2k1/p3pp1p/1n3bpB/8/1q6/2N2Q1P/PP3PP1/4R1K1 w - - 0 21	e1d1	e1e5	e1e5
42	3r2k1/p3pp1p/1n3bpB/8/1q6/2N2Q1P/PP3PP1/3R2K1 b - - 1 21	d8d1	b4d4	b4d4
43	6k1/p3pp1p/1n3bpB/8/1q6/2N2Q1P/PP3PP1/3r2K1 w - - 0 22	f3d1	f3d1	f3d1
44	6k1/p3pp1p/1n3bpB/8/1q6/2N4P/PP3PP1/3Q2K1 b - - 0 22	e7e6	b4c4	b4c4
45	6k1/p4p1p/1n2pbpB/8/1q6/2N4P/PP3PP1/3Q2K1 w - - 0 23	g2g3	h6f4	h6f4
46	6k1/p4p1p/1n2pbpB/8/1q6/2N3PP/PP3P2/3Q2K1 b - - 0 23	f6g7	b4c4	b4c4
47	6k1/p4pbp/1n2p1pB/8/1q6/2N3PP/PP3P2/3Q2K1 w - - 1 24	d1d8	h6g7	h6g7
48	3Q2k1/p4pbp/1n2p1pB/8/1q6/2N3PP/PP3P2/6K1 b - - 2 24	b4f8	g7f8	g7f8
49	3Q1qk1/p4pbp/1n2p1pB/8/8/2N3PP/PP3P2/6K1 w - - 3 25	d8f8	h6g7	h6g7
50	5Qk1/p4pbp/1n2p1pB/8/8/2N3PP/PP3P2/6K1 b - - 0 25	g8f8	g7f8	g7f8
51	5k2/p4pbp/1n2p1pB/8/8/2N3PP/PP3P2/6K1 w - - 0 26	h6g7	h6g7	h6g7
52	5k2/p4pBp/1n2p1p1/8/8/2N3PP/PP3P2/6K1 b - - 0 26	f8g7	f8g7	f8g7
53	8/p4pkp/1n2p1p1/8/8/2N3PP/PP3P2/6K1 w - - 0 27	g1f1	g1g2	g1g2
54	8/p4pkp/1n2p1p1/8/8/2N3PP/PP3P2/5K2 b - - 1 27	g7f6	b6d7	b6d7
55	8/p4p1p/1n2pkp1/8/8/2N3PP/PP3P2/5K2 w - - 2 28	f1e2	f1g2	f1g2
56	8/p4p1p/1n2pkp1/8/8/2N3PP/PP2KP2/8 b - - 3 28	e6e5	b6d7	b6d7
57	8/p4p1p/1n3kp1/4p3/8/2N3PP/PP2KP2/8 w - - 0 29	e2d3	e2d3	e2d3
58	8/p4p1p/1n3kp1/4p3/8/2NK2PP/PP3P2/8 b - - 1 29	f6e6	b6d7	b6d7
59	8/p4p1p/1n2k1p1/4p3/8/2NK2PP/PP3P2/8 w - - 2 30	a2a3	c3e4	c3e4
