fen,move,value
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","e2e4","0.01"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","e2e4","0.0"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","e7e5","0.01"
"rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2","f2f4","0.0"
"rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2","f7f6","0.0"
"rnbqkbnr/pppp2pp/5p2/4p3/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3","f4e5","0.0"
"rnbqkbnr/pppp2pp/5p2/4P3/4P3/8/PPPP2PP/RNBQKBNR b KQkq - 0 3","f6f5","0.0"
"rnbqkbnr/pppp2pp/8/4Pp2/4P3/8/PPPP2PP/RNBQKBNR w KQkq - 0 4","e5e6","0.0"
"rnbqkbnr/pppp2pp/4P3/5p2/4P3/8/PPPP2PP/RNBQKBNR b KQkq - 0 4","e8e7","0.0"
"rnbq1bnr/ppppk1pp/4P3/5p2/4P3/8/PPPP2PP/RNBQKBNR w KQ - 1 5","g2g4","0.0"
"rnbq1bnr/ppppk1pp/4P3/5p2/4P1P1/8/PPPP3P/RNBQKBNR b KQ - 0 5","e7d6","0.0"
"rnbq1bnr/pppp2pp/3kP3/5p2/4P1P1/8/PPPP3P/RNBQKBNR w KQ - 1 6","e6e7","0.0"
"rnbq1bnr/ppppP1pp/3k4/5p2/4P1P1/8/PPPP3P/RNBQKBNR b KQ - 0 6","d6c6","0.0"
"rnbq1bnr/ppppP1pp/2k5/5p2/4P1P1/8/PPPP3P/RNBQKBNR w KQ - 1 7","e7e8q","0.0"
"rnbqQbnr/pppp2pp/2k5/5p2/4P1P1/8/PPPP3P/RNBQKBNR b KQ - 0 7","b7b6","0.0"
"rnbqQbnr/p1pp2pp/1pk5/5p2/4P1P1/8/PPPP3P/RNBQKBNR w KQ - 0 8","e8e6","0.0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","e2e4","0.0"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","f7f5","0.0"
"rnbqkbnr/ppppp1pp/8/5p2/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2","c2c4","0.0"
"rnbqkbnr/ppppp1pp/8/5p2/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2","d7d6","0.0"
"rnbqkbnr/ppp1p1pp/3p4/5p2/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 0 3","e4e5","0.0"
"rnbqkbnr/ppp1p1pp/3p4/4Pp2/2P5/8/PP1P1PPP/RNBQKBNR b KQkq - 0 3","d6d5","0.0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","e2e4","0.0"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","b8c6","0.0"
"r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2","d1h5","0.0"
"r1bqkbnr/pppppppp/2n5/7Q/4P3/8/PPPP1PPP/RNB1KBNR b KQkq - 2 2","e7e6","0.0"
"r1bqkbnr/pppp1ppp/2n1p3/7Q/4P3/8/PPPP1PPP/RNB1KBNR w KQkq - 0 3","h2h4","0.0"
"r1bqkbnr/pppp1ppp/2n1p3/7Q/4P2P/8/PPPP1PP1/RNB1KBNR b KQkq - 0 3","d7d5","0.0"
"r1bqkbnr/ppp2ppp/2n1p3/3p3Q/4P2P/8/PPPP1PP1/RNB1KBNR w KQkq - 0 4","b2b4","0.0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","f2f4","0.0"
"rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2","g1f3","0.0"
"rnbqkb1r/ppp1pppp/5n2/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq - 2 3","d2d3","0.0"
"rnbqkb1r/ppp1pppp/5n2/3p4/5P2/3P1N2/PPP1P1PP/RNBQKB1R b KQkq - 0 3","d8d6","0.0"
"rnb1kb1r/ppp1pppp/3q1n2/3p4/5P2/3P1N2/PPP1P1PP/RNBQKB1R w KQkq - 1 4","b1c3","0.0"
"rnb1kb1r/ppp1pppp/3q1n2/3p4/5P2/2NP1N2/PPP1P1PP/R1BQKB1R b KQkq - 2 4","g7g6","0.0"
