fen,move,value
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","g1f3","0.0"
"rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1","f7f6","0.0"
"rnbqkbnr/ppppp1pp/5p2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2","b1c3","0.0"
"rnbqkbnr/ppp1p1pp/5p2/3p4/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 0 3","h1g1","0.0"
"rnbqkbnr/ppp1p1pp/5p2/3p4/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 0 3","b2b3","0.0"
"rnbqkbnr/ppp1p1pp/5p2/3p4/8/1PN2N2/P1PPPPPP/R1BQKB1R b KQkq - 0 3","e7e5","0.0"
"3k4/5ppp/2q5/3p2r1/8/1Q3P2/P4P1P/3R3K w - - 0 1","h2h3","0.0"
"3k4/5ppp/2q5/3p2r1/8/1Q3P1P/P4P2/3R3K b - - 0 1","c6c4","0.0"
"3k4/5ppp/8/3p2r1/2q5/1Q3P1P/P4P2/3R3K w - - 1 2","b3a3","0.0"
"3k4/5ppp/8/3p2r1/2q5/Q4P1P/P4P2/3R3K b - - 2 2","h7h5","0.1"
"3k4/5ppp/8/3p2r1/2q5/Q4P1P/P4P2/3R3K b - - 2 2","h7h5","0.0"
"3k4/5pp1/8/3p2rp/2q5/Q4P1P/P4P2/3R3K w - - 0 3","h1h2","0.0"
"3k4/5pp1/8/3p2rp/2q5/Q4P1P/P4P1K/3R4 b - - 1 3","g5g3","0.0"
